0.3 0.747 0.819
0.301 0.747 0.823
0.308 0.747 0.855
0.31 0.758 0.852
0.313 0.805 0.874
0.315 0.81 0.902
0.321 0.774 0.955
0.322 0.772 0.958
0.33 0.755 0.995
0.331 0.753 0.999
0.339 0.738 1.051
0.34 0.737 1.056
0.349 0.735 1.117
0.35 0.734 1.123
0.359 0.732 1.185
0.36 0.732 1.192
0.37 0.738 1.254
0.371 0.739 1.26
0.381 0.762 1.317
0.382 0.764 1.327
0.393 0.784 1.398
0.395 0.787 1.409
0.406 0.801 1.479
0.408 0.803 1.491
0.42 0.822 1.56
0.422 0.825 1.573
0.435 0.846 1.646
0.437 0.85 1.661
0.45 0.872 1.735
0.454 0.876 1.752
0.467 0.902 1.83
0.471 0.907 1.85
0.486 0.94 1.931
0.49 0.948 1.954
0.506 0.998 2.044
0.51 1.011 2.065
0.527 1.089 2.163
0.527 1.089 2.163
0.541 1.165 2.257
0.55 1.214 2.317
0.555 1.238 2.34
0.573 1.305 2.416
0.576 1.313 2.428
0.596 1.368 2.485
0.604 1.398 2.513
0.617 1.447 2.546
0.635 1.528 2.6
0.636 1.531 2.602
0.651 1.619 2.638
0.666 1.706 2.676
0.671 1.729 2.686
0.685 1.811 2.7
0.706 1.902 2.71
0.706 1.905 2.71
0.735 2.017 2.705
0.74 2.031 2.702
0.778 2.137 2.682
0.779 2.139 2.682
0.824 2.216 2.7
0.83 2.225 2.703
0.87 2.276 2.736
0.89 2.307 2.757
0.912 2.341 2.775
0.945 2.402 2.812
0.96 2.433 2.832
0.974 2.466 2.843
1.004 2.539 2.872
1.035 2.6 2.892
1.04 2.61 2.894
1.088 2.694 2.914
1.109 2.724 2.918
1.145 2.771 2.924
1.171 2.799 2.925
1.224 2.852 2.925
1.239 2.865 2.924
1.348 2.936 2.931
1.366 2.944 2.93
1.517 2.994 2.938
1.538 2.998 2.936
1.731 2.973 2.975
1.758 2.965 2.974
1.835 2.884 3.029
1.904 2.815 3.08
1.954 2.771 3.114
1.982 2.748 3.134
2.066 2.688 3.19
2.091 2.642 3.242
2.167 2.584 3.304
2.178 2.538 3.361
2.213 2.483 3.43
2.243 2.455 3.465
2.27 2.442 3.502
2.3 2.407 3.571
2.353 2.39 3.631
2.374 2.339 3.723
2.395 2.312 3.781
2.454 2.301 3.834
2.485 2.255 3.93
2.506 2.215 4.015
2.523 2.206 4.041
2.554 2.198 4.094
2.58 2.141 4.236
2.589 2.174 4.183
2.596 2.126 4.286
2.636 2.123 4.341
2.638 2.123 4.344
2.654 2.106 4.4
2.664 2.082 4.464
2.67 2.026 4.596
2.681 2.056 4.543
2.712 2.021 4.664
2.727 2.003 4.726
2.76 1.999 4.779
2.771 1.998 4.796
2.831 1.992 4.89
